antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'glucose_cat=Norma_Glukozy', 'ever_married=No', 'age_cat=Młody', 'bmi_cat=Niedowaga'})","frozenset({'work_type=children', 'smoking_status=Unknown'})",0.059307105108631825,0.12096300645918967,0.05284791544333529,0.8910891089108911,7.366625012015764,0.04567394970500402,8.071157849783805,0.9187404633097518
"frozenset({'work_type=children', 'smoking_status=Unknown'})","frozenset({'glucose_cat=Norma_Glukozy', 'ever_married=No', 'age_cat=Młody', 'bmi_cat=Niedowaga'})",0.12096300645918967,0.059307105108631825,0.05284791544333529,0.4368932038834951,7.366625012015764,0.04567394970500402,1.670540830582947,0.9831811771691532
"frozenset({'work_type=children', 'smoking_status=Unknown'})","frozenset({'glucose_cat=Norma_Glukozy', 'age_cat=Młody', 'bmi_cat=Niedowaga'})",0.12096300645918967,0.059502838128792326,0.05284791544333529,0.4368932038834951,7.342392692897292,0.04565027325042206,1.6701932357368,0.9826715158712487
"frozenset({'ever_married=No', 'work_type=children', 'smoking_status=Unknown'})","frozenset({'glucose_cat=Norma_Glukozy', 'age_cat=Młody', 'bmi_cat=Niedowaga'})",0.12096300645918967,0.059502838128792326,0.05284791544333529,0.4368932038834951,7.342392692897292,0.04565027325042206,1.6701932357368,0.9826715158712487
"frozenset({'glucose_cat=Norma_Glukozy', 'age_cat=Młody', 'bmi_cat=Niedowaga'})","frozenset({'work_type=children', 'smoking_status=Unknown'})",0.059502838128792326,0.12096300645918967,0.05284791544333529,0.888157894736842,7.342392692897291,0.04565027325042206,7.859624883423711,0.9184553127529195
"frozenset({'glucose_cat=Norma_Glukozy', 'age_cat=Młody', 'bmi_cat=Niedowaga'})","frozenset({'ever_married=No', 'work_type=children', 'smoking_status=Unknown'})",0.059502838128792326,0.12096300645918967,0.05284791544333529,0.888157894736842,7.342392692897291,0.04565027325042206,7.859624883423711,0.9184553127529195
"frozenset({'ever_married=No', 'age_cat=Młody', 'bmi_cat=Niedowaga'})","frozenset({'work_type=children', 'smoking_status=Unknown'})",0.06263456645136034,0.12096300645918967,0.055588177725582305,0.8875000000000001,7.336953883495146,0.04801171225935786,7.813662164807208,0.9214161561559795
"frozenset({'work_type=children', 'smoking_status=Unknown'})","frozenset({'ever_married=No', 'age_cat=Młody', 'bmi_cat=Niedowaga'})",0.12096300645918967,0.06263456645136034,0.055588177725582305,0.459546925566343,7.336953883495146,0.04801171225935786,1.7344067003983812,0.9825566626210167
"frozenset({'ever_married=No', 'age_cat=Młody', 'bmi_cat=Niedowaga'})","frozenset({'glucose_cat=Norma_Glukozy', 'work_type=children', 'smoking_status=Unknown'})",0.06263456645136034,0.11528674887453513,0.05284791544333529,0.84375,7.3187075551782685,0.04562697990999193,5.662164807202975,0.9210536491806068
"frozenset({'glucose_cat=Norma_Glukozy', 'work_type=children', 'smoking_status=Unknown'})","frozenset({'ever_married=No', 'age_cat=Młody', 'bmi_cat=Niedowaga'})",0.11528674887453513,0.06263456645136034,0.05284791544333529,0.45840407470288624,7.3187075551782685,0.04562697990999193,1.7307468349847923,0.9758685676827271
"frozenset({'work_type=children', 'smoking_status=Unknown'})","frozenset({'age_cat=Młody', 'bmi_cat=Niedowaga'})",0.12096300645918967,0.06283029947152084,0.055588177725582305,0.459546925566343,7.314097329340955,0.04798803580477591,1.7340445357083836,0.9820721254716005
